日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-07,300784,100.18,127.0,180.0,100.1,117088,1600613087.11,282.33,348.76,98.7,83.28
2024-06-05,300198,11.77,12.57,13.06,11.08,589147,66606017.0,14.6,-7.3,-0.99,6.49
2024-06-06,300198,12.27,11.38,12.67,11.38,562605,60944757.0,10.26,-9.47,-1.19,6.19
2024-06-07,300198,11.87,13.46,13.46,11.87,768634,93511793.5,13.97,18.28,2.08,8.46
2024-06-05,300716,9.43,9.16,9.46,9.07,44467,26412953.0,4.12,-3.27,-0.31,2.78
2024-06-06,300716,9.2,8.38,9.37,8.21,64727,35878830.0,12.66,-8.52,-0.78,4.04
2024-06-07,300716,8.51,10.0,10.0,8.51,84504,53950276.85,17.78,19.33,1.62,5.28
2024-06-05,300988,31.22,30.32,31.6,30.32,30902,51185911.0,4.09,-3.01,-0.94,2.88
2024-06-06,300988,30.59,28.76,30.63,28.4,50149,78644217.0,7.35,-5.15,-1.56,4.67
2024-06-07,300988,29.69,34.32,34.32,28.92,125112,214916853.43,18.78,19.33,5.56,11.65
2024-06-05,300306,42.2,41.12,42.2,40.96,25327,21894444.0,2.96,-1.81,-0.76,1.61
2024-06-06,300306,41.0,39.48,41.52,39.16,46150,38190806.0,5.74,-3.99,-1.64,2.93
2024-06-07,300306,42.64,46.04,46.04,42.56,118602,115506716.56,8.81,16.62,6.56,7.53
2024-06-05,300817,29.98,30.46,30.66,29.25,154794,213011259.0,4.43,-4.21,-1.34,15.58
2024-06-06,300817,29.98,26.59,29.98,26.48,138140,138839900.0,11.49,-12.71,-3.87,11.12
2024-06-07,300817,26.95,31.54,31.54,26.74,133290,146997607.18,18.05,18.62,4.95,10.73
2024-06-05,688343,26.88,27.05,28.18,26.6,49950,136617609.0,5.87,0.56,0.15,1.94
2024-06-06,688343,27.17,25.68,27.5,25.64,58419,153347168.0,6.88,-5.06,-1.37,2.27
2024-06-07,688343,29.6,30.82,30.82,28.66,202287,614659027.0,8.41,20.02,5.14,7.84
2024-06-05,300262,4.82,5.66,5.66,4.32,723798,37791044.0,27.8,17.43,0.84,10.84
2024-06-06,300262,5.41,6.67,6.67,5.16,699842,45883276.0,26.68,17.84,1.01,10.48
2024-06-07,300262,7.34,7.85,7.85,7.17,420072,34461880.97,10.19,17.69,1.18,6.29
2024-06-05,301036,20.44,19.43,20.46,19.42,44676,83632016.0,5.07,-5.36,-1.1,10.28
2024-06-06,301036,19.52,19.24,20.25,19.08,50737,94836932.0,6.02,-0.98,-0.19,11.67
2024-06-07,301036,19.27,22.89,22.89,19.25,75511,158754082.0,18.92,18.97,3.65,17.37
2024-06-05,300103,20.29,19.76,20.29,19.51,63255,23643173.0,3.81,-3.56,-0.73,2.58
2024-06-06,300103,19.47,18.3,19.76,17.91,76232,26364786.0,9.36,-7.39,-1.46,3.11
2024-06-07,300103,18.74,21.6,21.6,18.74,114420,45995574.09,15.63,18.03,3.3,4.66
2024-06-05,300125,8.23,8.91,9.54,8.23,252976,46042521.0,15.58,5.95,0.5,9.53
2024-06-06,300125,8.77,7.73,8.82,7.41,262889,43622074.0,15.82,-13.24,-1.18,9.9
2024-06-07,300125,8.32,9.13,9.13,8.32,295052,52716648.92,10.48,18.11,1.4,11.12
2024-06-05,300368,18.67,20.03,20.83,18.43,710606,166474981.0,13.68,14.13,2.48,13.43
2024-06-06,300368,18.83,18.19,19.15,17.79,527382,114377172.0,6.79,-9.19,-1.84,9.97
