日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-06-07,300784,100.18,127.0,180.0,100.1,117088,1600613087.11,282.33,348.76,98.7,83.28
2024-06-05,300198,1.08,1.16,1.21,1.01,589147,66606017.0,15.87,-7.94,-0.1,6.49
2024-06-06,300198,1.13,1.04,1.17,1.04,562605,60944757.0,11.21,-10.34,-0.12,6.19
2024-06-07,300198,1.09,1.25,1.25,1.09,768634,93511793.5,15.38,20.19,0.21,8.46
2024-06-05,300716,6.09,5.91,6.11,5.85,44467,26412953.0,4.25,-3.43,-0.21,2.78
2024-06-06,300716,5.94,5.39,6.05,5.28,64727,35878830.0,13.03,-8.8,-0.52,4.04
2024-06-07,300716,5.48,6.47,6.47,5.48,84504,53950276.85,18.37,20.04,1.08,5.28
2024-06-05,300988,16.8,16.3,17.01,16.3,30902,51185911.0,4.22,-3.09,-0.52,2.88
2024-06-06,300988,16.45,15.43,16.47,15.23,50149,78644217.0,7.61,-5.34,-0.87,4.67
2024-06-07,300988,15.95,18.52,18.52,15.52,125112,214916853.43,19.44,20.03,3.09,11.65
2024-06-05,300306,8.87,8.6,8.87,8.56,25327,21894444.0,3.53,-2.16,-0.19,1.61
2024-06-06,300306,8.57,8.19,8.7,8.11,46150,38190806.0,6.86,-4.77,-0.41,2.93
2024-06-07,300306,8.98,9.83,9.83,8.96,118602,115506716.56,10.62,20.02,1.64,7.53
2024-06-05,300817,13.81,14.04,14.14,13.46,154794,213011259.0,4.63,-4.42,-0.65,15.58
2024-06-06,300817,10.85,9.54,10.85,9.5,138140,138839900.0,9.62,-32.05,-4.5,11.12
2024-06-07,300817,9.68,11.45,11.45,9.6,133290,146997607.18,19.39,20.02,1.91,10.73
2024-06-05,688343,26.88,27.05,28.18,26.6,49950,136617609.0,5.87,0.56,0.15,1.94
2024-06-06,688343,27.17,25.68,27.5,25.64,58419,153347168.0,6.88,-5.06,-1.37,2.27
2024-06-07,688343,29.6,30.82,30.82,28.66,202287,614659027.0,8.41,20.02,5.14,7.84
2024-06-05,300262,0.48,0.58,0.58,0.42,723798,37791044.0,33.33,20.83,0.1,10.84
2024-06-06,300262,0.55,0.7,0.7,0.52,699842,45883276.0,31.03,20.69,0.12,10.48
2024-06-07,300262,0.78,0.84,0.84,0.76,420072,34461880.97,11.43,20.0,0.14,6.29
2024-06-05,301036,19.46,18.45,19.48,18.44,44676,83632016.0,5.32,-5.63,-1.1,10.28
2024-06-06,301036,18.54,18.26,19.27,18.1,50737,94836932.0,6.34,-1.03,-0.19,11.67
2024-06-07,301036,18.29,21.91,21.91,18.27,75511,158754082.0,19.93,19.99,3.65,17.37
2024-06-05,300103,3.82,3.71,3.82,3.66,63255,23643173.0,4.15,-3.89,-0.15,2.58
2024-06-06,300103,3.65,3.41,3.71,3.33,76232,26364786.0,10.24,-8.09,-0.3,3.11
2024-06-07,300103,3.5,4.09,4.09,3.5,114420,45995574.09,17.3,19.94,0.68,4.66
2024-06-05,300125,1.68,1.83,1.97,1.68,252976,46042521.0,16.86,6.4,0.11,9.53
2024-06-06,300125,1.8,1.57,1.81,1.5,262889,43622074.0,16.94,-14.21,-0.26,9.9
2024-06-07,300125,1.7,1.88,1.88,1.7,295052,52716648.92,11.46,19.75,0.31,11.12
2024-06-05,300368,2.18,2.35,2.45,2.15,710606,166474981.0,14.71,15.2,0.31,13.43
2024-06-06,300368,2.2,2.12,2.24,2.07,527382,114377172.0,7.23,-9.79,-0.23,9.97
2024-06-07,300368,2.3,2.48,2.54,2.24,604719,144386626.39,14.15,16.98,0.36,11.43
2024-06-05,300822,16.89,16.71,17.62,15.8,299381,501419423.0,10.33,-5.16,-0.91,13.45
2024-06-06,300822,15.61,15.92,16.67,14.81,262332,413370876.0,11.13,-4.73,-0.79,11.78
2024-06-07,300822,11.95,14.11,14.59,11.5,443629,583732911.51,25.35,15.75,1.92,15.35
2024-06-05,300786,13.01,12.31,13.51,12.26,131628,169921622.0,9.46,-6.88,-0.91,9.15
2024-06-06,300786,12.13,11.37,12.65,11.2,134979,158341668.0,11.78,-7.64,-0.94,9.38
2024-06-07,300786,11.8,12.94,13.64,11.52,262921,343903092.1,18.65,13.81,1.57,18.27
2024-06-05,300175,7.53,7.09,7.63,7.04,745185,539027174.0,7.8,-6.22,-0.47,15.83
2024-06-06,300175,6.97,6.47,7.16,6.26,792186,528171937.0,12.69,-8.74,-0.62,16.83
2024-06-07,300175,6.9,7.36,7.76,6.9,1072551,798299355.83,13.29,13.76,0.89,22.78
2024-06-05,300422,4.56,4.46,4.6,4.46,55671,25024830.0,3.03,-3.46,-0.16,1.43
2024-06-06,300422,4.46,4.14,4.5,4.02,106024,44634296.0,10.76,-7.17,-0.32,2.73
2024-06-07,300422,4.23,4.69,4.82,4.22,170791,77611978.39,14.49,13.29,0.55,4.4
